,mssmtest_1,mssmtest_2,mssmtest_3,mssmtest_4,mssmtest_5,mssmtest_6,mssmtest_7,mssmtest_8,mssmtest_9,mssmtest_10,mssmtest_11
ENSG00000000003,1.04329896263086,-1.38865597291719,0.345357010286331,1.29394821584501,-0.254483298135453,0.855055676985209,2.51513796528478,-0.519068357888467,-1.2161739645667,-3.89059020209107,1.2161739645667
ENSG00000000419,0.145124076058083,0.27758722609089,-0.422711302148973,-0.214286225465317,-0.023938470834679,-0.140030326914443,-0.171470695599271,-0.300462926152922,-1.76297887735944,0.850188644966631,1.76297887735944
ENSG00000000457,1.78395838539955,-3.14902023236977,1.36506184697022,-0.252702966386598,-0.681412057030996,-0.281555387753173,1.00740084048745,-0.0649601222414624,-1.46046966679113,0.273229692924781,1.46046966679113
ENSG00000000460,2.11807280827529,-3.55187140366023,1.43379859538494,-1.05970950126682,0.536540164078879,0.799965720282689,-0.376320807827644,-0.485445035726323,-1.51131966397618,0.584969460459213,1.51131966397618
ENSG00000000938,-0.264090627741407,-0.178469583860376,0.442560211601789,0.890192536831933,1.1308471037661,1.81713059669937,-3.84547252724079,-0.679007117012713,-3.08316138888892,0.686309406956109,3.08316138888891
ENSG00000000971,-0.628478569695516,0.967368938179734,-0.338890368484221,0.441500582899523,1.6420099083037,1.55078449357552,-3.83410163825145,1.92080801211284,-3.24496754294917,-1.72100135864014,3.24496754294917
ENSG00000001036,0.530485356960242,-1.21152061092309,0.681035253962849,0.968265164812185,-0.307657533769834,-0.390396382414921,-1.44945152613755,-0.105474168242508,-2.47017281760331,1.28471444575262,2.47017281760331
ENSG00000001084,-0.432481083020307,0.166712680002304,0.265768403018006,0.101014799153185,0.12622990569726,0.575614837107632,0.289877147423423,-0.022077824273194,-1.75239458163719,-1.07065886510831,1.75239458163719
ENSG00000001167,-0.746712752219589,1.12283164351188,-0.376118891292293,-0.751240787316015,-0.00529187301917355,-0.112554723440025,0.720035486836915,0.213437708833551,-2.05053623474185,-0.0643858118952547,2.05053623474185
ENSG00000001460,-0.458241653304939,0.945833132842317,-0.487591479537377,-0.552037388263939,-0.433216716053619,0.552215858644672,-0.484588775917862,-0.277533497404787,-1.1101949252676,1.19516051899554,1.1101949252676
ENSG00000001461,0.705774880605345,-0.86020233806499,0.154427457459647,-0.716874970223921,-0.877265631013512,-0.218004070387132,0.56065292135592,0.588772533718934,-1.080744777497,0.662719216549712,1.080744777497
ENSG00000001497,-0.570716556681394,1.00080262921071,-0.430086072529318,-0.400844115710815,-0.0592236413825713,-0.454150832590579,0.276074729260745,-0.0423548008958665,-1.52803637031284,0.680498661319081,1.52803637031283
ENSG00000001561,1.87966961180451,-3.17236167760857,1.29269206580406,-0.372089578127547,-0.339096949665598,-0.0939384626200477,0.255983558881874,-0.114458854814687,-2.19476092868836,0.663600286346004,2.19476092868836
ENSG00000001617,0.138016080975057,-0.492842922987075,0.354826842012017,0.617157237508541,0.575235619100014,1.76866140731227,-1.74584866046287,1.5154530370065,1.64660877067457,-2.73065864046445,-1.64660877067457
ENSG00000001629,0.424232869072129,0.0837356661124113,-0.507968535184541,-0.155845893398607,-0.578902156134108,-0.0426654752822113,-0.0371537840871365,-0.192291067353476,-2.6495059235478,1.00685837625554,2.6495059235478
ENSG00000001630,1.68012856581354,-2.31147778192648,0.631349216112947,1.57935848720488,-0.624668904283393,-1.68395471914079,1.01608317239352,-0.0320693935636034,-0.965283043901729,-0.254748642610628,0.965283043901728
